,Employee ID,Email,Position,DOB,Marital Status,Gender,Hire Date,Salaried,Vacation Hours,Sick Leave Hours,Encrypted Password,Modified
1,295847284,ken0,Chief Executive Officer,1/29/69,S,M,1/14/09,1,99,69,F01251E5-96A3-448D-981E-0F99D789110D,6/30/14 0:00
2,245797967,terri0,Vice President of Engineering,8/1/71,S,F,1/31/08,1,1,20,45E8F437-670D-4409-93CB-F9424A40D6EE,6/30/14 0:00
3,509647174,roberto0,Engineering Manager,11/12/74,M,M,11/11/07,1,2,21,9BBBFB2C-EFBB-4217-9AB7-F97689328841,6/30/14 0:00
4,112457891,rob0,Senior Tool Designer,12/23/74,S,M,12/5/07,0,48,80,59747955-87B8-443F-8ED4-F8AD3AFDF3A9,6/30/14 0:00
5,695256908,gail0,Design Engineer,9/27/52,M,F,1/6/08,1,5,22,EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08,6/30/14 0:00
6,998320692,jossef0,Design Engineer,3/11/59,M,M,1/24/08,1,6,23,E39056F1-9CD5-478D-8945-14ACA7FBDCDD,6/30/14 0:00
7,134969118,dylan0,Research and Development Manager,2/24/87,M,M,2/8/09,1,61,50,4F46DECA-EF01-41FD-9829-0ADAB368E431,6/30/14 0:00
8,811994146,diane1,Research and Development Engineer,6/5/86,S,F,12/29/08,1,62,51,31112635-663B-4018-B4A2-A685C0BF48A4,6/30/14 0:00
9,658797903,gigi0,Research and Development Engineer,1/21/79,M,F,1/16/09,1,63,51,50B6CDC6-7570-47EF-9570-48A64B5F2ECF,6/30/14 0:00
10,879342154,michael6,Research and Development Manager,11/30/84,M,M,5/3/09,1,16,64,EAA43680-5571-40CB-AB1A-3BF68F04459E,6/30/14 0:00
11,974026903,ovidiu0,Senior Tool Designer,1/17/78,S,M,12/5/10,0,7,23,F68C7C19-FAC1-438C-9BB7-AC33FCC341C3,6/30/14 0:00
12,480168528,thierry0,Tool Designer,7/29/59,M,M,12/11/07,0,9,24,1D955171-E773-4FAD-8382-40FD898D5D4D,6/30/14 0:00
13,486228782,janice0,Tool Designer,5/28/89,M,F,12/23/10,0,8,24,954B91B6-5AA7-48C2-8685-6E11C6E5C49A,6/30/14 0:00
14,42487730,michael8,Senior Design Engineer,6/16/79,S,M,12/30/10,1,3,21,46286CA4-46DD-4DDB-9128-85B67E98D1A9,6/30/14 0:00
15,56920285,sharon0,Design Engineer,5/2/61,M,F,1/18/11,1,4,22,54F2FDC0-87C4-4065-A7A8-9AC8EA624235,6/30/14 0:00
16,24756624,david0,Marketing Manager,3/19/75,S,M,12/20/07,1,40,40,E87029AA-2CBA-4C03-B948-D83AF0313E28,6/30/14 0:00
17,253022876,kevin0,Marketing Assistant,5/3/87,S,M,1/26/07,0,42,41,1B480240-95C0-410F-A717-EB29943C8886,6/30/14 0:00
18,222969461,john5,Marketing Specialist,3/6/78,S,M,2/7/11,0,48,44,64730415-1F58-4E5B-8FA8-5E4DAEBA53B4,6/30/14 0:00
19,52541318,mary2,Marketing Assistant,1/29/78,S,F,2/14/11,0,43,41,1F6DA901-C7F7-48A8-8EEF-D81868D72B52,6/30/14 0:00
20,323403273,wanida0,Marketing Assistant,3/17/75,M,F,1/7/11,0,41,40,43CCA446-DA1C-454C-8530-873AD2923E1B,6/30/14 0:00
21,243322160,terry0,Marketing Specialist,2/4/86,M,M,3/2/09,0,44,42,AD0D7626-4506-45C4-898F-9D7A0E13AABD,6/30/14 0:00
22,95958330,sariya0,Marketing Specialist,5/21/87,S,M,12/12/08,0,45,42,AF21F1B7-0691-48AD-B325-B8F2D7B2268A,6/30/14 0:00
23,767955365,mary0,Marketing Specialist,9/13/62,M,F,1/12/09,0,46,43,90899830-127E-4876-85CA-7F6E03025281,6/30/14 0:00
24,72636981,jill0,Marketing Specialist,6/18/79,M,F,1/18/09,0,47,43,53575C58-FBA1-4C1A-B8FF-95E050B44393,6/30/14 0:00
25,519899904,james1,Vice President of Production,1/7/83,S,M,2/3/09,1,64,52,D7314F24-2AF1-429C-9BBB-4038F45F3E6C,6/30/14 0:00
26,277173473,peter0,Production Control Manager,11/3/82,M,M,12/1/08,1,43,41,69D5D162-E817-45E7-9DEC-5D9B8310E7B1,17:08.6
27,446466105,jo0,Production Supervisor - WC60,10/8/56,S,F,2/27/08,0,80,60,83FFAAC6-B895-481F-B897-14F965D4DA47,6/30/14 0:00
28,14417807,guy1,Production Technician - WC60,3/13/88,M,M,6/30/06,0,21,30,AAE1D04A-C237-4974-B4D5-935247737718,6/30/14 0:00
29,948320468,mark1,Production Technician - WC60,9/25/79,S,M,1/23/09,0,19,29,CDB2C6DF-93E5-4558-91C8-424D5E7C658B,6/30/14 0:00
30,410742000,britta0,Production Technician - WC60,9/28/89,M,F,1/29/09,0,14,27,FC12677F-42F8-4790-AD69-685088ED7E5F,6/30/14 0:00
31,750246141,margie0,Production Technician - WC60,5/20/86,M,F,1/4/09,0,18,29,352D6E2F-655B-49A2-9FEC-EFD7D8CD0D30,6/30/14 0:00
32,330211482,rebecca0,Production Technician - WC60,7/10/77,M,F,12/29/08,0,23,31,BDADEB5C-A596-4DA1-88BA-842C7A0CC10F,6/30/14 0:00
